DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	1855
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	33181
16-SEP-2006	2DAT1021	CIT-F	363277	19778	60590
16-SEP-2006	2DAT1021	CIT-F	363277	19778	60590
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	4109
16-SEP-2006	2DAT1021	CIT-F	363277	19778	4109
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	87561
16-SEP-2006	2DAT1021	CIT-F	363277	19778	87561
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	4109
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	25600
16-SEP-2006	2DAT1021	CIT-F	363277	19778	17450
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	3516
16-SEP-2006	2DAT1021	CIT-F	363277	19778	3516
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	99228
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	226360
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	138148
16-SEP-2006	2DAT1021	CIT-F	363277	19778	8771
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
